210: 0	731	0.134614
211: 1	558	0.135172
212: 0	793	0.135966
213: 1	494	0.136460
214: 0	772	0.137233
215: 1	518	0.137752
216: 0	771	0.138522
217: 1	516	0.139040
218: 0	770	0.139810
219: 1	520	0.140331
220: 0	768	0.141099
221: 1	521	0.141620
222: 0	788	0.142408
223: 1	500	0.142908
224: 0	788	0.143697
225: 1	474	0.144171
226: 0	793	0.144965
227: 1	496	0.145461
228: 0	792	0.146253
229: 1	497	0.146750
230: 0	791	0.147542
231: 1	499	0.148041
232: 0	759	0.148800
233: 1	557	0.149357
234: 0	761	0.150119
235: 1	527	0.150646
236: 0	771	0.151418
237: 1	517	0.151935
238: 0	760	0.152696
239: 1	530	0.153226
240: 0	790	0.154016
241: 1	497	0.154513
242: 0	769	0.155283
243: 1	493	0.155776
244: 0	795	0.156572
245: 1	495	0.157067
246: 0	814	0.157882
247: 1	475	0.158357
248: 0	793	0.159150
249: 1	495	0.159645
250: 0	781	0.160427
251: 1	508	0.160935
252: 0	738	0.161674
253: 1	550	0.162224
254: 0	769	0.162994
255: 1	521	0.163515
256: 0	788	0.164303
257: 1	499	0.164803
258: 0	767	0.165571
259: 1	523	0.166094
260: 0	786	0.166881
261: 1	501	0.167382
262: 0	766	0.168148
263: 1	498	0.168647
264: 0	789	0.169437
265: 1	499	0.169936
266: 0	789	0.170725
267: 1	499	0.171225
268: 0	778	0.172004
269: 1	511	0.172515
270: 0	766	0.173282
271: 1	522	0.173804
272: 0	766	0.174570
273: 1	521	0.175092
274: 0	787	0.175880
275: 1	503	0.176383
276: 0	764	0.177148
277: 1	525	0.177673
278: 0	764	0.178437
279: 1	523	0.178961
280: 0	764	0.179725
281: 1	500	0.180225
282: 0	820	0.181046
283: 1	468	0.181514
284: 0	789	0.182302
285: 1	501	0.182804
286: 0	787	0.183591
287: 1	501	0.184093
288: 0	839	0.184933
289: 1	450	0.185383
290: 0	764	0.186147
291: 1	523	0.186671
292: 0	765	0.187436
293: 1	526	0.187963
294: 0	794	0.188757
295: 1	520	0.189278
296: 0	766	0.190045
297: 1	496	0.190542
298: 0	791	0.191334
299: 1	496	0.191830
300: 0	813	0.192643
301: 1	476	0.193120
302: 0	727	0.193847
303: 1	560	0.194408
304: 0	791	0.195199
305: 1	500	0.195699
306: 0	767	0.196467
307: 1	521	0.196988
308: 0	820	0.197808
309: 1	469	0.198278
310: 0	788	0.199066
311: 1	500	0.199567
312: 0	766	0.200333
313: 1	497	0.200831
314: 0	812	0.201643
315: 1	476	0.202119
316: 0	801	0.202921
317: 1	487	0.203408
318: 0	790	0.204199
319: 1	501	0.204700
320: 0	777	0.205477
321: 1	512	0.205989
